Entity,Entity_Type
Koirala,GPE
the Nepali Congress,ORG
four,CARDINAL
the Sher Bahadur Deuba,FAC
Congress,ORG
earlier this year,DATE
three-day,DATE
Kathmandu,GPE
August 14 to 16,DATE
Congress,ORG
Purna Bahadur Khadka,PERSON
Deuba,GPE
Koirala,GPE
Saturday,DATE
521,CARDINAL
Khadka,PERSON
Deuba,GPE
Saturday,DATE
Shashank,PERSON
Khadka,PERSON
four,CARDINAL
Shashank Koirala,PERSON
today,DATE
Bimalendra Nidhi,PERSON
The day,DATE
Shashank,ORG
first,ORDINAL
Maharajgunj,GPE
Sunday,DATE
BP Koirala,PERSON
Muktinath Panta,ORG
the Smithsonian Institution’s,ORG
National Air and Space Museum,ORG
Shashank,ORG
BP,ORG
Mohan Bahadur Basnet,PERSON
Min Bishwakarma,PERSON
Kanchharam Tamang,PERSON
Kundan Raj Kafle,PERSON
so many years,DATE
