Word,POS_Tag
Koirala,NNP
have,VB
harboured,VBN
ambition,NN
leading,VBG
Nepali,NNP
Congress,NNP
president,NN
secretary,NN
stands,VBZ
crossroads,NN
is,VBZ
preparing,VBG
lead,VB
outfit,NN
banner,NN
election,NN
symbol,NN
“,NNP
tree,NN
”,NNP
Following,VBG
opposition,NN
Sher,NNP
Bahadur,NNP
faction,NN
Congress,NNP
’,NNP
s,VBZ
convention,NN
held,VBD
year,NN
group,NN
is,VBZ
organising,VBG
gathering,NN
Kathmandu,NNP
August,NNP
prepare,VB
formation,NN
party,NN
reconciliation,NN
occurs,VBZ
Congress,NNP
factions,NNS
acting,NN
president,NN
Purna,NNP
Bahadur,NNP
Khadka,NNP
stepped,VBD
coordinating,VBG
event,NN
Deuba,NNP
faction,NN
appointed,VBD
Koirala,NNP
Saturday,NNP
steer,VB
organising,VBG
committee,NN
Khadka,NNP
had,VBD
been,VBN
heading,VBG
activities,NNS
Deuba,NNP
faction,NN
Saturday,NNP
Shashank,NNP
Khadka,NNP
took,VBD
leadership,NN
role,NN
commitment,NN
spearheading,VBG
party—minus,NN
symbol,NN
flag,NN
Shashank,NNP
Koirala,NNP
is,VBZ
leader,NN
today,NN
remain,VB
leader,NN
moving,VBG
”,NNP
said,VBD
party,NN
leader,NN
Bimalendra,NNP
Nidhi,NNP
day,NN
appointment,NN
Shashank,NNP
hosted,VBD
meeting,NN
residence,NN
Maharajgunj,NNP
Sunday,NNP
decision,NN
has,VBZ
drawn,VBN
criticism,NN
media,NNS
platforms,NNS
accusing,VBG
son,NN
founder,NN
BP,NNP
Koirala,NNP
engineering,NN
party,NN
split,NN
sentiment,NN
remains,VBZ
move,NN
Muktinath,NNP
Panta,NNP
security,NN
supervisor,NN
employed,VBN
Institution,NNP
’,NNP
s,VBD
National,NNP
Air,NNP
Space,NNP
Museum,NNP
expressed,VBD
dismay,NN
Shashank,NNP
’,NNP
decision,NN
Facebook,NNP
“,VB
My,NNP
goodness,NN
has,VBZ
happened,VBN
intellect,NN
BP,NNP
’,NNP
s,VBD
son,NN
following,VBG
leaders,NNS
Mohan,NNP
Bahadur,NNP
Basnet,NNP
Min,NNP
Bishwakarma,NNP
Kanchharam,NNP
Tamang,NNP
Kundan,NNP
Raj,NNP
Kafle,NNP
lead,VBD
breaking,VBG
party,NN
Destruction,NNP
leads,VBZ
wisdom,NN
BP,VB
think,VB
have,VB
enjoying,VBG
power,NN
years,NNS
father,NN
’,NN
s,NN
legacy,NN
is,VBZ
choosing,VBG
sink,VB
ship,NN
”,VB
